question_id,created,tag_list,title,q_descrip,num_follow,num_view
58318293,1491861946,"[""作家"",""王小波""]",你会如何纪念王小波逝世二十周年？,去找人敦一敦伟大的友谊！,22,2423
59227720,1493574917,"[""macOS"",""软件"",""Microsoft Windows"",""Linux"",""命令行界面（CLI）""]",有哪些命令行的软件堪称神器？,"ag：比grep、ack更快的递归搜索文件内容。tig：字符模式下交互查看git项目，可以替代git命令。mycli：mysql客户端，支持语法高亮和命令补全，效果类似ipython，可以替代mysql命令。jq: json文件处理以及格式化显示，支持高亮，可以替换python -m json.tool。shellcheck：shell脚本静态检查工具，能够识别语法错误以及不规范的写法。yapf：Google开发的python代码格式规范化工具，支持pep8以及Google代码风格。mosh：基于UDP的终端连接，可以替代ssh，连接更稳定，即使IP变了，也能自动重连。fzf：命令行下模糊搜索工具，能够交互式智能搜索并选取文件或者内容，配合终端ctrl-r历史命令搜索简直完美。PathPicker(fpp):在命令行输出中自动识别目录和文件，支持交互式，配合git非常有用。运行以下命令：git diff HEAD~8 --stat | fpp
htop: 提供更美观、更方便的进程监控工具，替代top命令。axel：多线程下载工具，下载文件时可以替代curl、wget。axel -n 20 http://centos.ustc.edu.cn/centos/7/isos/x86_64/CentOS-7-x86_64-Minimal-1511.iso
sz/rz：交互式文件传输，在多重跳板机下传输文件非常好用，不用一级一级传输。cloc：代码统计工具，能够统计代码的空行数、注释行、编程语言。ccache：高速C/C++编译缓存工具，反复编译内核非常有用。使用起来也非常方便：gcc foo.c
改成:ccache gcc foo.c
tmux：终端复用工具，替代screen、nohup。neovim: 替代vim。script/scriptreplay: 终端会话录制。script -t 2>time.txt session.typescript # 录制开始
# your commands
exit # 录制结束
回放:scriptreplay -t time.txt session.typescript
you-get: 非常强大的媒体下载工具，支持youtube、google+、优酷、芒果TV、腾讯视频、秒拍等视频下载。还有mac专有的pbcopy/pbpaste：把命令行输出拷贝到系统粘贴板：cat test.sh| pbcopy
把系统粘贴板内容拷到终端:pbpaste
mac下的say命令支持多种语言(英语、普通话、粤语)文本朗读，支持各种销魂恐怖的语气。跑这个命令感受下，小心被吓着了：for i in `say -v '?' | cut -d ' ' -f 1`; do echo $i && say -v ""$i"" 'Hello World';done
更具体的列表可参考：int32bit/dotfiles 。",7247,491680
57524019,1490276424,"[""iOS"",""iOS 应用"",""输入法"",""搜狗输入法"",""双拼输入法""]",iOS 上有哪些不会强退的输入法？,由于用的是双拼，需要用第三方输入法。但是经常被强退的问题困扰，想请问哪款输入法比较稳定？试过搜狗，常年 (null)，烦死了,8,257
56590537,1488553203,"[""战争"",""中国"",""中越战争"",""战俘""]",中国是如何对待本国军队的战俘的？,从没见讨论过，但是只要有战争就会有战俘，比如跟越南打的仗，自己人被俘虏以后放回来了的话，是怎么对待的？,3,228
56376583,1488172077,"[""鲍勃·迪伦（Bob Dylan）"",""中国中央电视台 (CCTV)"",""《朗读者》"",""董卿""]",如何看待央视《朗读者》删改鲍勃·迪伦的歌词？,转：央视最近开了个挺火的新节目叫朗读者，里面有一段是请了几个曾经在战火中进行人道救援的医生，读 Bob Dylan 的著名反战歌曲 Blowin' in the wind。我专门找来看了看，结果呵呵，都删成这样了还读什么啊！有点深意的全删掉了，不知道的还以为诺贝尔文学奖真就这水平呢。下面是原版的歌词，带星号是删掉的，为了强行凑第二段被全剪掉的篇幅，第三段还读了两遍。 *一个人要走多少路才能真正称作是一个人？ 一只白鸽要翱翔多少海…,7,1063
56182267,1487785440,"[""历史"",""人物"",""演讲"",""故事"",""世界史""]",历史上有哪些臭名昭著的演讲？,"提名一个英国首相内维尔·张伯伦在1938年9月30号在唐宁街10号前做的演讲。彼时他刚刚参加完由英、法、德、意四国决定让捷克斯洛伐克无条件割让苏台德地区给德国的慕尼黑会议，签署了《慕尼黑协定》。中国历史教科书和历史考题里常常出现的“我们赢得了一代人的和平”就出自这场演讲。次年3月德国悍然入侵了整个捷克斯洛伐克，和平之说沦为泡影。1940年，由于工党不同意参加由张伯伦领导的联合政府，张伯伦黯然下台。他于当年病逝，享年71岁。以下是演讲原文内容：Neville Chamberlain
""Peace for Our Time,"" September 30, 1938

The following statement was made by British Prime Minister, Neville Chamberlain, in front of #10 Downing Street, London, after his arrival home from the notorious Munich Conference of 1938

We, the German Fuhrer and Chancellor, and the British Prime Minister, have had a further meeting today and are agreed in recognizing that the question of Anglo-German relations is of the first importance for our two countries and for Europe.

We regard the agreement signed last night and the Anglo-German Naval Agreement as symbolic of the desire of our two peoples never to go to war with one another again.

We are resolved that the method of consultation shall be the method adopted to deal with any other questions that may concern our two countries, and we are determined to continue our efforts to remove possible sources of difference, and thus to contribute to assure the peace of Europe.

My good friends, for the second time in our history, a British Prime Minister has returned from Germany bringing peace with honor. I believe it is ""peace for our time."" Go home and get a nice quiet sleep.引自：&amp;quot;Peace for Our Time,&amp;quot; 1938",22,2775
55265135,1485848621,"[""土耳其"",""土耳其语""]",土耳其语 hakimiyet milletindir 是什么意思？,"朋友圈看见一张图，摄于土耳其某处，旗帜上面写着这两个词。 搜索给出的英文是 “Sovereignty unconditionally belongs to the Nation”，Wikipedia 说Sovereignty unconditionally belongs to the people (of the nation) (Turkish: Egemenlik, kayıtsız şartsız Milletindir) is the founding principle of the Republic of Turkey. This principle is written on the wall behind the chairman of the General As…",4,137
54991301,1484975013,"[""中国社会"",""新闻事件""]",发生于 2001 年的广西南丹矿难有哪些深远的影响？,2001年7月17日，广西南丹发生了一起重大矿难，81 人死亡。这是中国第一起被广泛报道的矿难，在社会上引起了广泛的关注和反响。当地政府和矿主试图瞒报，用死亡威胁记者，但还是失败了。最后县委书记也被判了死刑。 有人说南丹矿难拉开了报道矿难的序幕，这种说法对吗？南丹矿难有哪些深远的影响？,5,110
54840527,1484593591,"[""美国"",""人口"",""人口经济学""]",美国有哪些地区近五年来有较高速的人口增长，为什么？,美国有哪些地区的人口增长显著高于其它地区呢？,5,93
54824753,1484559144,"[""数学史"",""几何学""]",埃尔朗根纲领有哪些深远的影响？,埃尔朗根纲领（Erlangen program）在数学史上的地位似乎挺高的，但是它的影响有哪些体现呢？很难想象那之前的几何学是什么样子。,36,1015
